architecture,pooled_mse,pooled_mse_ratio,median_commodity_mse_ratio,n_commodities_better,n_sig_better_fdr,n_sig_worse_fdr,median_dm_stat,pooled_dm_stat,pooled_dm_pvalue
ContractiveAE,1.0103611748855053,0.9982815653033311,0.9979162864736628,14,0.0,0.0,-0.5595699112483816,-1.2974468379903306,0.1945395525273212
RecurrentAE,1.0109581380276227,0.998871391312836,0.9989790609909166,12,0.0,0.0,-0.22308065462969545,-0.735292801269064,0.46219695155957613
MaskedAE,1.011091296216644,0.9990029574979522,0.9986185995317178,12,0.0,0.0,-0.29333317229824113,-0.6096936738331352,0.5420934734253459
DenoisingAE,1.0111813336941269,0.9990919185112925,0.9993331088591704,13,0.0,0.0,-0.14478102930088657,-0.7220494129352244,0.4702991106527111
VAE,1.0115171659842754,0.9994237356798678,0.9997108089961118,12,0.0,0.0,-0.06322262613155938,-0.39436868523711377,0.6933263000283778
SparseAE,1.0118810983144193,0.9997833169318312,1.0009232539380903,9,0.0,0.0,0.17556152242439238,-0.15093742198133686,0.8800313937326117
VanillaAE,1.0121004033351089,1.0,1.0,0,,,,,
BetaVAE,1.0123997924841193,1.0002958097319434,1.0005633887660663,10,0.0,0.0,0.10667101272240831,0.16267528456263616,0.8707809242834589
