,Brent,WTI,NaturalGas,Gasoline,Diesel,Gold,Silver,Copper,Aluminium,Nickel,Zinc,Coffee,Corn,Cotton,LeanHogs,LiveCattle,Sugar,Soybeans,SoybeanMeal,SoybeanOil,HRWWheat,Wheat
DenoisingAE,0.21929280149981797,0.08532497326026872,0.5126316901047366,0.7309492913202101,0.6525582350204855,0.6439317640568784,0.16977334299517302,0.45810837898868395,0.40191794984712914,0.8409879958783348,0.9403518767312946,0.9128536568394692,0.9257187670303942,0.390972178147598,0.34431141560308764,0.9948399405448591,0.12535018707343015,0.9055140466677826,0.316867330919234,0.46233937116652646,0.8678298365103837,0.8570686755002901
SparseAE,0.8909537758479416,0.10910512122229754,0.7338759459851477,0.11470855272452044,0.23955501801886186,0.5032257083513569,0.2374060396389847,0.41454707940261,0.8021425008433297,0.14588478613328737,0.3292620167080695,0.6838377776510117,0.44643733635617,0.8178113356807358,0.04312616533845935,0.3345404011554397,0.38572938295504533,0.8305417862381461,0.646444671997153,0.7613702321546305,0.7638004391284386,0.9166247202312677
ContractiveAE,0.06054401135238469,0.43466045825272936,0.6217858993532429,0.6109688042127583,0.347710143081606,0.5425684226123533,0.2545378079193117,0.541615315114389,0.35569589468893253,0.33904985345630334,0.003588167548747676,0.4582634055614382,0.4769915688982542,0.4944856285108664,0.6015178858098704,0.4300938083129803,0.9588266604727292,0.6737272948901257,0.9062443442915104,0.46377771606079277,0.06642753876292089,0.05446591857765013
VAE,0.037666683936494895,0.4926265170678717,0.28812940379867,0.32294360812790257,0.7005356930967335,0.917414026020279,0.4335582188547811,0.46971279515727865,0.3458283048446794,0.7472176590205206,0.6248008872036036,0.9849708842864257,0.4941647690202893,0.6799141716991398,0.6688277015170274,0.46567205992390676,0.9143119541012444,0.5678827370074448,0.23551334582119554,0.886291572622283,0.6291828639183366,0.6867262019583861
BetaVAE,0.22325857492700107,0.8645551767319727,0.8647005456379239,0.4049287416335425,0.38154805954004545,0.5844734697560136,0.5148889704849678,0.6404902959692613,0.06385894121772322,0.32364419608066824,0.6919885605071306,0.7459625747019908,0.7540362242867772,0.4360087084260798,0.27650292677351873,0.1903152471718433,0.14844611932028567,0.633401676674459,0.7306381012614556,0.9102609587915107,0.9657517312815374,0.40042018458293366
RecurrentAE,0.015534552769950208,0.9549183117770709,0.28913912005378606,0.09542872538627196,0.37284612792628935,0.9390851070033008,0.3398118541247548,0.26848013154418915,0.8493234645498172,0.1291168795900356,0.5805385939078652,0.7846412317871776,0.6489567196974224,0.6745617948780827,0.3999517863915388,0.18330569097843546,0.18736537295972808,0.7020516815865525,0.6786684133971803,0.5977715674544484,0.9493023651030847,0.543650333041329
MaskedAE,0.4660112559060441,0.7237523623187606,0.08339774450307932,0.3362862830258457,0.5570888883469787,0.8482145442035453,0.8420182515131499,0.5668770933229028,0.8508668645836123,0.7632590350173033,0.27747314696028014,0.6141589402522809,0.4771984293536949,0.3599968749785715,0.29286930715336973,0.4654473914658559,0.24615514491741658,0.692669220318988,0.9408935126474052,0.28320457466039445,0.722980634862474,0.5101625763337199
