,Brent,WTI,NaturalGas,Gasoline,Diesel,Gold,Silver,Copper,Aluminium,Nickel,Zinc,Coffee,Corn,Cotton,LeanHogs,LiveCattle,Sugar,Soybeans,SoybeanMeal,SoybeanOil,HRWWheat,Wheat,ALL
VanillaAE,1.0669735118051165,1.0627744829258585,0.9974278352935899,1.0413084719460206,1.0456667147813519,0.9918605396472768,1.0020075981880256,0.9784129907032334,0.9761925329653832,0.883495922895653,0.8280181297465123,1.034242211855062,1.0264877067534837,1.0350201650542745,1.0363482887165845,1.025756501499098,1.0117537904578018,1.0458778624905614,1.0531510442366356,1.0382285546671042,1.0400544447804907,1.045149571963276,1.0121004033351089
DenoisingAE,1.0589877881272072,1.0567405095847044,0.995275376052394,1.039829913374866,1.0436430908110639,0.9900804879949054,0.9955425520432293,0.9811633853919853,0.9793919328827331,0.882649930878092,0.8277066030617121,1.0338918876180425,1.0268676391975575,1.0317691744729898,1.04079993722216,1.0257807857504015,1.0053023001821542,1.0463198244955227,1.057444393300737,1.0418632439070346,1.0408124749277217,1.044126109993574,1.0111813336941269
SparseAE,1.0679378653261096,1.0553304253298215,0.996312438001423,1.0355786887842544,1.0401306831217818,0.9943999652846593,0.9969782589382866,0.9756129109876281,0.9772881575856318,0.8894963956098483,0.8233729062951174,1.0356028446950867,1.0294262918908559,1.0341015846183919,1.0439601669157288,1.0293513485712003,1.0082057067520902,1.0468637973800266,1.0550807435722822,1.039481208955625,1.0412481997985663,1.045623574502808,1.0118810983144193
ContractiveAE,1.0575005214239448,1.0592076577743934,0.9988213572793876,1.039391898466053,1.0415086881304854,0.9945600061356374,1.0067729781553856,0.9761363375514732,0.9728637996052134,0.8877553122662956,0.8174260316884624,1.0317007299616183,1.0236092198101716,1.0375333033250198,1.0380356010667149,1.028685259099245,1.0115432447218318,1.047628269157249,1.052611887042535,1.0352141541551236,1.0325618088729052,1.0368777817919705,1.0103611748855053
VAE,1.0528806595109483,1.0597218039184806,1.0013324907384415,1.0376276701139626,1.0437247035121373,0.9922879091724723,0.9986656529596747,0.981962804494027,0.9805008661759868,0.8849369717814763,0.8258699801357215,1.0341669115705348,1.0292577322033005,1.0330918572293717,1.0378764281964323,1.0292950258238025,1.0112422732345265,1.0434400470421203,1.048301117768335,1.0376427561635702,1.0423390820501548,1.0472129078585783,1.0115171659842754
BetaVAE,1.0583474644444275,1.0637476750392514,0.9983133652402048,1.0364477306517155,1.0403930330898203,0.9952190644291731,1.0062890428082878,0.9810945336060561,0.9899969206339967,0.8893922813230538,0.8301193740338816,1.0356269711249781,1.0248397722101854,1.0311336152419113,1.0434101587962437,1.0320608201622294,1.0047018772418628,1.043180106977225,1.0513294308869188,1.0376165563868909,1.0403029803329864,1.0392326599893253,1.0123997924841193
RecurrentAE,1.0448806629756593,1.063166595336801,1.001501634921775,1.0342754213934204,1.0401591879146277,0.992308583580626,1.0085280348435872,0.9736924235684118,0.9769739121132844,0.8932556368247662,0.8252498047235487,1.0353548789358646,1.024540698923084,1.036729806675633,1.0402335300803787,1.031283985871528,1.0059332591575567,1.0440360560256763,1.0511297509554491,1.0358642417834225,1.039762331811718,1.042218598190883,1.0109581380276227
MaskedAE,1.0609699053056423,1.0652056833761607,1.0034240188808434,1.0358070135764597,1.0420040914807909,0.9910615703572989,1.0031147769110178,0.9807697543015332,0.9770840370825137,0.8851619948235584,0.8225557845180181,1.0321840251065522,1.0230892258792001,1.030849373166371,1.0409200188577505,1.029138495111614,1.0065160960028143,1.0438307917916376,1.0535923534104739,1.0331396294455262,1.0419055147779324,1.0416843626024637,1.011091296216644
