,Brent,WTI,NaturalGas,Gasoline,Diesel,Gold,Silver,Copper,Aluminium,Nickel,Zinc,Coffee,Corn,Cotton,LeanHogs,LiveCattle,Sugar,Soybeans,SoybeanMeal,SoybeanOil,HRWWheat,Wheat
DenoisingAE,-1.2285705979733206,-1.7209448847777766,-0.6547939003407586,-0.34388297293225156,-0.4502391715508052,-0.46223764612590945,-1.3731378478525744,0.742024917590989,0.8382747741163543,-0.20064069616755115,-0.07483150762061463,-0.1094455555115308,0.0932374872962632,-0.8579328599843168,0.9457736914868434,0.006467555866425207,-1.532964570143625,0.11870496595049221,1.0010200776527527,0.7350588989613811,0.1664245454137576,-0.18011650309024232
SparseAE,0.13710468184064806,-1.6025247311106383,-0.33999387929788294,-1.5776634062470503,-1.1762450857823898,0.6694732247876432,-1.1816420315833038,-0.8159883938130595,0.2505890808503906,1.4544568091820937,-0.9757001611757647,0.40725637490871275,0.7614302915651627,-0.23037348480059983,2.023019938674624,0.9651054385981075,-0.8674669420721118,0.21401836300813673,0.4587356684394579,0.30369911916445724,0.3005108991833722,0.10469180356016877
ContractiveAE,-1.8772510881927815,-0.7813067497239059,0.49335265126352007,-0.5087242391401002,-0.9391317503963271,0.6089769238080405,1.1395322963083492,-0.6104155833566629,-0.923686280871661,0.956139181633325,-2.913698370900144,-0.7417690431990062,-0.7112050682720292,0.6832437962045517,0.5222534211055608,0.7890975178889663,-0.0516287358541274,0.42106375311620287,-0.11778320339399359,-0.7326988879159434,-1.8359435809032725,-1.9235810972190333
VAE,-2.079036994078004,-0.6861896472532865,1.0623513677004703,-0.9885282440037623,-0.38462032735491386,0.10369711825328984,-0.7831828300587073,0.7230035081692283,0.9428041814870771,0.32232870988273626,-0.4890890654751418,-0.018838294194946852,0.6837517894994062,-0.41260528548700287,0.4277837097782759,0.7295968938578794,-0.10760695806817192,-0.571211747048428,-1.1864240106707433,-0.14300580384031616,0.48290816933146546,0.4033261329113835
BetaVAE,-1.2180657740806935,0.17058763685484557,0.17040276643111224,-0.8329241831282016,-0.8751276155303143,0.5468989416826724,0.6512921197304624,0.46704288791141285,1.8535895344754556,0.9870978542558294,0.39618164500782677,0.3239861456372948,-0.3133395937830321,-0.7790156761214192,1.0883320759613146,1.309831485180175,-1.4452732903509629,-0.4769748065745202,-0.3442968038698514,-0.11271530506167203,0.04293925901370437,-0.8409454654496867
RecurrentAE,-2.4205312727514885,0.05653455396210108,1.060128765251375,-1.6677579136237644,-0.8912377047971562,0.07642379853309086,0.9546316593080778,-1.1066970634948619,0.18999191333760043,1.5178535412604626,-0.5526355727010372,0.2732910067279173,-0.45524050447993036,0.4199211097184244,0.8417819063128257,1.3308366457038514,-1.318600369520623,-0.3825751208111267,-0.4143060480638718,-0.5276427860293902,-0.06358618844826419,-0.6073453698477488
MaskedAE,-0.7290422006136469,0.3534689400508239,1.7316618404421993,-0.9616248868669786,-0.5872119084621275,-0.19140732021267784,0.19932330855664776,0.5726962279237023,0.18802257688768048,0.30122090864450013,-1.0861359388857703,-0.5041785602157866,-0.7108712107149877,-0.9154582740801712,1.0519628501361062,0.7299644218252327,-1.1598798724850448,-0.3952590243838044,0.0741507459402094,-1.0732680454537578,0.35449875988807356,-0.6586335240190444
